ID,year,month,ngas_ft3,ngas_cost,pgas_ft3,oil_gal,makeup_wat_gal,makeup_wat_cost,avg_feedback_temp,electric_kwh,elec_cost,elec_cost_per_kwh,gen_steam_lb,gen_steam_no1_lb,gen_steam_no2_lb,gen_steam_no3_lb,gen_steam_no4_lb,boiler_efficiency,steam_cost_fuel_per_mlb,steam_cost_total_per_mlb,hdd,cdd,mean_outside_temp,fyear,ngas_per_dt,dt
46,10,6,6590000,38936.91,0,0,144600,2175.97,236,27760,1932.01,0.07,4779470,0,868190,3911280,0,71,9.01,13.72,0,300,73,FY 09/10,5.91,6590
106,15,6,6900000,38002.88,0,0,244800,2665.91,230,35920,2693.64,0.07,5953630,0,0,5953630,0,83,7.28,11.06,0,240,73,FY 14/15,5.51,6900
82,13,6,7270400,45348.46,0,0,574046,3410.08,230,30800,2200.54,0.07,5740420,0,0,5740420,0,80,8.88,12.8,0,189,71,FY 12/13,6.24,7270
10,7,6,7550000,71991.5,0,0,349400,2320.25,236,28400,1606.76,0.06,6190020,0,40080,6149940,0,79,12.27,15.9,0,181,71,,9.54,7550
12,7,8,8170000,81280.04,0,3539,481000,4091.15,236,26320,1540.75,0.06,7860200,0,123440,6804280,932480,88,11.7,14.56,0,371,77,FY 07/08,9.95,8170
58,11,6,8460000,54735.85,0,0,228200,2459.82,234,31600,2084.78,0.07,6325010,0,84860,523210,5716940,74,9.37,12.93,0,250,73,FY 10/11,6.47,8460
118,16,6,8479000,42412.29,0,0,146200,2297.19,230,38880,2947.73,0.08,7831560,0,0,0,7831560,90,6.09,11.84,0,247,73,FY 15/16,5,8479
107,15,7,9060000,46400.46,0,0,190700,2698.67,230,37440,2738.32,0.07,7521050,0,0,7521050,0,80,6.89,9.88,0,302,75,FY 15/16,5.12,9060
47,10,7,9070000,57925.87,0,0,173100,2282.5,236,33440,2268.24,0.07,4613140,0,4613140,0,0,50,13.54,18.42,0,367,77,FY 10/11,6.39,9070
108,15,8,9130000,47865.23,0,0,189900,2665.72,230,40240,3158,0.08,6417170,0,3305850,3111320,0,68,8.37,11.88,0,235,72,FY 15/16,5.24,9130
36,9,8,9570000,50877.39,0,0,450400,4803.38,236,30080,1812.8,0.06,7140380,0,0,7140380,0,73,8.05,11.2,0,243,73,FY 09/10,5.32,9570
48,10,8,9750000,62606.78,0,0,225000,2236.01,236,32000,2175.81,0.07,5331500,0,5331500,0,0,54,12.57,16.79,0,379,77,FY 10/11,6.42,9750
1,6,8,9770000,89744.07,0,0,511000,2874.19,232,32720,1615.48,0.05,9036120,0,244930,7850270,960920,,10.43,12.92,0,,76,,9.19,9770
35,9,7,9890000,58625.57,0,0,462000,4283.47,236,36320,2187.23,0.06,6238260,0,3342780,2385610,509870,61,10.44,14.05,0,171,71,FY 09/10,5.93,9890
34,9,6,10080000,55191.85,0,0,471800,3891.55,236,28800,1790.53,0.06,6217320,0,6217320,0,0,60,9.79,13.41,0,222,72,FY 08/09,5.48,10080
60,11,8,10160000,65530.28,0,0,346200,2731.75,234,38320,2447.69,0.06,7628260,0,0,0,7628260,74,9.27,12.22,0,297,75,FY 11/12,6.45,10160
59,11,7,10250000,66020.67,0,0,348400,2917.73,234,33760,2086.37,0.06,7895870,0,0,0,7895870,76,9,11.85,0,383,77,FY 11/12,6.44,10250
83,13,7,10292100,60997.27,0,0,286400,2419.46,230,33120,2306.08,0.07,8139930,0,0,8139930,0,80,8.07,10.83,0,266,73,FY 13/14,5.93,10292
84,13,8,10566800,61095.88,0,0,316300,2722.83,230,35040,2524.27,0.07,8355460,0,0,8355460,0,81,7.94,10.64,0,211,72,FY 13/14,5.78,10567
24,8,8,10780000,121270.15,0,0,583600,4993.23,236,19600,1106.44,0.06,8639300,0,217860,8421440,0,78,14.74,17.34,0,224,72,FY 08/09,11.25,10780
96,14,8,10780000,57180.55,0,0,290200,2797.81,230,37280,2747.5,0.07,8628500,0,0,0,8628500,78,7.27,9.88,0,229,72,FY 14/15,5.3,10780
71,12,7,11190000,60482.07,0,0,480800,2989.41,230,23280,1663.85,0.07,8496270,0,128430,8367840,0,75,7.67,10.32,0,373,77,FY 12/13,5.41,11190
94,14,6,7590000,44939.26,0,0,249500,2344.43,230,32400,2368.18,0.07,6668860,0,559390,6109470,0,86,7.45,10.83,1,226,73,FY 13/14,5.92,7590
11,7,7,9230000,91795.62,0,0,477800,3367.33,234,17360,1010.37,0.06,7521480,0,,7521480,0,79,12.79,15.78,1,223,72,FY 07/08,9.95,9230
23,8,7,10350000,157864.07,0,0,598700,4321.9,236,21120,1184.45,0.06,8371850,0,60,8371790,0,79,19.51,22.2,1,247,73,FY 08/09,15.25,10350
95,14,7,10530000,62771.41,0,0,230100,2595.43,230,40320,2924.37,0.07,8347210,0,2541010,0,5806200,77,8.18,10.88,1,213,72,FY 14/15,5.96,10530
22,8,6,7870000,110960.12,0,0,413100,3575.76,236,20880,1198.45,0.06,6517690,0,125090,6392600,0,80,17.76,21.21,4,218,72,FY 07/08,14.1,7870
72,12,8,11340000,62687.02,0,0,457000,2878.36,230,20080,1494.81,0.07,7992250,0,1458950,6533300,0,70,8.39,11.21,8,227,72,FY 12/13,5.53,11340
70,12,6,8870000,47419.48,0,0,352400,2854.61,230,23040,1669.6,0.07,4719100,0,4216370,502730,0,52,11.01,15.78,13,164,70,FY 11/12,5.35,8870
61,11,9,11180000,68928.39,0,0,313100,2355.06,234,36160,2463.87,0.07,8477750,0,0,0,8477750,75,8.7,11.35,14,92,68,FY 11/12,6.17,11180
49,10,9,11880000,61751.86,0,0,307800,2559.18,242,24160,1507.08,0.06,6712180,0,6613040,99140,0,56,9.81,13.16,15,110,68,FY 10/11,5.2,11880
97,14,9,10790000,68713.46,0,0,192500,2459.42,230,42080,3052.15,0.07,8688570,0,0,0,8688570,78,8.54,11.13,17,179,70,FY 14/15,6.37,10790
13,7,9,9810000,98003.5,0,0,510400,3944.78,236,21520,1213.06,0.06,8723020,0,207610,7242640,1272770,86,11.83,14.41,18,138,69,FY 07/08,9.99,9810
37,9,9,10280000,48466.56,0,0,512200,5372.33,236,34720,2247.98,0.06,8121250,0,737470,7383780,0,78,6.91,9.68,18,103,68,FY 09/10,4.71,10280
85,13,9,11288700,65628.29,0,0,353100,3110.06,230,29120,2091.19,0.07,8993070,0,0,8993070,0,81,7.88,10.38,22,104,67,FY 13/14,5.81,11289
